post_id,score,top_comment_id,verdict,date,time
d1wohr,29102,ezr0axp,NTA,2019-09-09,20:36:17
ge2hgf,29083,fpkvrdo,YTA,2020-05-05,17:49:48
zv5h8o,29054,j1n6stx,NTA,2022-12-25,20:04:59
hc7wd7,29024,fvdfz0a,NTA,2020-06-19,20:14:22
tbobir,29033,i089zuw,NTA,2022-03-11,11:41:21
xs91ht,29008,iqj6k77,NTA,2022-09-30,18:42:52
wecxo0,28905,iindozv,NTA,2022-08-02,14:20:19
f2f25v,28962,fhc3j25,NTA,2020-02-11,21:07:57
pl5mm4,28846,hc8c3jx,NTA,2021-09-09,20:13:03
g5hta8,28996,fo3r9e2,NTA,2020-04-21,15:56:36
degzhj,28897,f2v12vz,NTA,2019-10-07,09:16:48
jc39u7,28789,g8z48kt,NTA,2020-10-16,04:29:24
11nl5es,28797,jbnpsfy,NTA,2023-03-10,10:11:12
gxrgku,28814,ft4ykhk,YTA,2020-06-06,13:58:10
osr28j,28679,h6q8kpd,NTA,2021-07-27,17:16:20
flvmtn,28707,fl0rurt,NTA,2020-03-20,14:10:10
d7ma4k,28786,f11twz5,NTA,2019-09-22,05:29:13
erfvwt,28690,ff3z6ps,NTA,2020-01-20,16:56:49
j5jidt,28684,g7seie3,NTA,2020-10-05,13:36:05
hgr9s6,28682,fw5lx5n,NTA,2020-06-27,10:33:44
sp8vjk,28665,hwdj2pt,NTA,2022-02-10,15:15:34
u6ec6m,28671,i57r0sh,NTA,2022-04-18,14:22:34
ibbwws,28652,g1veuyd,NTA,2020-08-17,10:52:16
hreyxc,28638,fy3pglj,NTA,2020-07-15,02:05:19
164gett,28617,jy7vrfw,NTA,2023-08-29,11:55:21
x9109y,28619,inl7yjm,NTA,2022-09-08,13:48:39
ie7x4f,28550,g2e7mdr,NTA,2020-08-21,23:36:02
13xguk1,28558,jmgyy4f,NTA,2023-06-01,12:54:49
10bvopw,28567,j4cdorm,NTA,2023-01-14,18:34:43
grrijp,28544,fs0kl6n,NTA,2020-05-27,20:22:16
wloe2s,28475,ijuapxq,NTA,2022-08-11,10:48:07
16agagn,28411,jz77dtj,NTA,2023-09-05,06:22:08
n0fjhc,28404,gw691j5,NTA,2021-04-28,14:04:59
cvlkut,28390,ey4w3zu,YTA,2019-08-26,09:12:49
d9fawt,28380,f1gsz7s,NTA,2019-09-26,05:31:32
y0dmoo,28339,irr6iyc,NTA,2022-10-10,12:32:33
ifsfel,28247,g2pj648,NTA,2020-08-24,16:36:05
joxhic,28365,gbb2hvv,NTA,2020-11-06,03:26:56
u1b48h,28299,i4b57uc,NTA,2022-04-11,16:04:56
nce479,28177,gy4g0sv,NTA,2021-05-14,17:29:55
ktuqop,28236,gio60c9,NTA,2021-01-09,17:09:21
hadrc7,28219,fv26hg9,NTA,2020-06-16,21:57:04
ze4qw3,28173,iz4fmca,NTA,2022-12-06,11:58:39
ak0zkc,28165,ef0hzqt,YTA,2019-01-26,13:50:42
ov7s4p,28140,h77c82h,NTA,2021-07-31,14:08:08
v2ii6e,28163,iashted,NTA,2022-06-01,14:39:01
cs6k42,28143,exd43cq,NTA,2019-08-18,20:24:12
iib8f9,28120,g35oo7a,NTA,2020-08-28,17:19:33
dpn1e5,28109,f5wymc7,ESH,2019-10-31,12:47:39
uwbmey,28114,i9qi4w0,NTA,2022-05-23,22:03:05
pr6joh,28111,hdgbn8w,NTA,2021-09-19,11:54:16
anhw1b,28107,eftfpzf,NTA,2019-02-05,19:46:32
d84fui,28026,f173gba,YTA,2019-09-23,10:04:19
skkx07,28100,hvlglq7,NTA,2022-02-04,18:43:55
hn91mz,28105,fx9x1j1,NTA,2020-07-08,02:53:11
10q7zhu,28078,j6odeke,NTA,2023-01-31,19:26:31
y1h40p,28073,irxb05x,NTA,2022-10-11,18:54:51
hdk7i3,28058,fvlr7db,NTA,2020-06-22,03:14:47
il24rf,28057,g3oxis1,NTA,2020-09-02,07:09:31
ci5zhq,28052,ev1vlng,YTA,2019-07-26,17:42:55
iyl5pm,28019,g6d7n0e,NTA,2020-09-23,22:50:25
mgj83i,28015,gsta3hs,NTA,2021-03-30,15:58:15
hv5qaz,28020,fyra8ti,NTA,2020-07-21,11:29:57
nshqng,28007,h0mhkox,NTA,2021-06-04,22:53:02
i75rop,28000,g0zyr6o,NTA,2020-08-10,14:25:34
ibiaid,27944,g1vyq8v,NTA,2020-08-17,17:14:30
kfi8io,27977,gg8k45h,NTA,2020-12-18,09:46:51
k2seky,27966,gdwemtq,NTA,2020-11-28,18:07:09
cevstm,27914,eu59gxk,NTA,2019-07-18,17:52:08
cgq9zs,27897,eujmpul,NTA,2019-07-23,09:17:29
j5o8e8,27853,g7t7c2m,NTA,2020-10-05,17:53:29
gon4bm,27871,frhq2h9,NTA,2020-05-22,17:00:28
rv11ws,27913,hr2kqfw,NTA,2022-01-03,12:52:16
j21f5l,27855,g72j8og,NTA,2020-09-29,15:28:42
ezb2co,27848,fgm2fky,NTA,2020-02-05,15:20:59
hip54w,27819,fwhe251,NTA,2020-06-30,15:09:53
nxqo7k,27806,h1g9f6s,NTA,2021-06-11,21:25:38
kok683,27809,ghrju3z,NTA,2021-01-01,22:03:46
euwsvi,27718,ffsf9z8,ESH,2020-01-27,23:43:39
m3wkmq,27750,gqra3lc,NTA,2021-03-13,01:54:09
fiq5ta,27751,fkil7b0,NTA,2020-03-14,21:45:29
klazu5,27737,gh7visc,NTA,2020-12-27,20:38:36
i1hgsb,27706,fzxjek5,NTA,2020-07-31,22:56:25
11gmhdb,27717,jap35ck,NTA,2023-03-03,00:52:57
f0rue1,27693,fgx8vh6,NTA,2020-02-08,13:53:24
jp92le,27672,gbddkfj,NTA,2020-11-06,17:15:31
gu2bpc,27636,fsg2jd2,NTA,2020-05-31,16:44:36
d31cjt,27614,ezy25pd,NTA,2019-09-12,02:29:22
